experiment_name,node_name,cpu,mem,status,timestamp
压力测试_2026-04-03,node-001,28.1,36.8,online,1775276493.0736809
压力测试_2026-04-03,node-002,59.7,30.9,online,1775276493.0736809
压力测试_2026-04-03,node-003,70.7,59.8,online,1775276493.0736809
压力测试_2026-04-03,node-004,57.5,25.7,online,1775276493.0736809
压力测试_2026-04-03,node-001,35.8,36.6,online,1775276553.0736809
压力测试_2026-04-03,node-002,50.5,54.8,online,1775276553.0736809
压力测试_2026-04-03,node-003,32.0,68.7,online,1775276553.0736809
压力测试_2026-04-03,node-004,86.4,60.5,online,1775276553.0736809
压力测试_2026-04-03,node-001,68.2,26.5,online,1775276613.0736809
压力测试_2026-04-03,node-002,53.6,26.2,online,1775276613.0736809
压力测试_2026-04-03,node-003,20.8,36.0,online,1775276613.0736809
压力测试_2026-04-03,node-004,73.6,70.1,online,1775276613.0736809
压力测试_2026-04-03,node-001,87.6,72.5,online,1775276673.0736809
压力测试_2026-04-03,node-002,50.6,77.1,online,1775276673.0736809
压力测试_2026-04-03,node-003,26.0,28.9,online,1775276673.0736809
压力测试_2026-04-03,node-004,56.5,38.5,online,1775276673.0736809
压力测试_2026-04-03,node-001,82.7,41.3,online,1775276733.0736809
压力测试_2026-04-03,node-002,50.9,30.7,online,1775276733.0736809
压力测试_2026-04-03,node-003,47.0,61.1,online,1775276733.0736809
压力测试_2026-04-03,node-004,89.0,74.1,online,1775276733.0736809
压力测试_2026-04-03,node-001,43.0,35.2,online,1775276793.0736809
压力测试_2026-04-03,node-002,72.9,67.3,online,1775276793.0736809
压力测试_2026-04-03,node-003,21.9,30.8,online,1775276793.0736809
压力测试_2026-04-03,node-004,26.7,49.0,online,1775276793.0736809
压力测试_2026-04-03,node-001,26.6,36.2,online,1775276853.0736809
压力测试_2026-04-03,node-002,34.4,35.3,online,1775276853.0736809
压力测试_2026-04-03,node-003,30.2,49.9,online,1775276853.0736809
压力测试_2026-04-03,node-004,54.4,37.9,online,1775276853.0736809
压力测试_2026-04-03,node-001,74.0,63.6,online,1775276913.0736809
压力测试_2026-04-03,node-002,29.3,31.8,online,1775276913.0736809
压力测试_2026-04-03,node-003,80.2,78.5,online,1775276913.0736809
压力测试_2026-04-03,node-004,44.1,59.8,online,1775276913.0736809
压力测试_2026-04-03,node-001,32.2,53.1,online,1775276973.0736809
压力测试_2026-04-03,node-002,50.9,26.6,online,1775276973.0736809
压力测试_2026-04-03,node-003,74.4,29.3,online,1775276973.0736809
压力测试_2026-04-03,node-004,29.8,58.9,online,1775276973.0736809
压力测试_2026-04-03,node-001,56.3,26.2,online,1775277033.0736809
压力测试_2026-04-03,node-002,64.0,70.7,online,1775277033.0736809
压力测试_2026-04-03,node-003,50.7,30.4,online,1775277033.0736809
压力测试_2026-04-03,node-004,24.2,65.4,online,1775277033.0736809
压力测试_2026-04-03,node-001,25.8,21.1,online,1775277093.0736809
压力测试_2026-04-03,node-002,39.8,69.8,online,1775277093.0736809
压力测试_2026-04-03,node-003,23.9,73.6,online,1775277093.0736809
压力测试_2026-04-03,node-004,78.0,56.2,online,1775277093.0736809
压力测试_2026-04-03,node-001,38.6,76.8,online,1775277153.0736809
压力测试_2026-04-03,node-002,57.6,77.7,online,1775277153.0736809
压力测试_2026-04-03,node-003,55.6,48.9,online,1775277153.0736809
压力测试_2026-04-03,node-004,16.1,72.5,online,1775277153.0736809
压力测试_2026-04-03,node-001,79.9,31.1,online,1775277213.0736809
压力测试_2026-04-03,node-002,65.2,76.8,online,1775277213.0736809
